job,sex,year,count,perc
Apprentice,men,1910,70527,0.0018116873679090001
Apprentice,men,1920,17761,0.00042299714566800006
Apprentice,men,1930,17699,0.000363204105809
Apprentice,men,1940,39638,0.000761811016093
Apprentice,men,1950,30590,0.0005036143922550001
Apprentice,men,1960,21110,0.00024290192478600001
Apprentice,men,1970,16425,0.000150327001727
Apprentice,men,1980,4442,3.4567329944e-05
Apprentice,men,1990,1865,1.250622956e-05
Apprentice,men,2000,0,0.0
Apprentice,women,1850,101,1.8682246797e-05
Apprentice,women,1860,1107,0.00013124769249400002
Apprentice,women,1870,4116,0.00031350352451500003
Apprentice,women,1880,5585,0.00030506984570000004
Apprentice,women,1900,5026,0.000169283892422
Apprentice,women,1910,8568,0.00022009354386600001
Apprentice,women,1920,3428,8.1641473754e-05
Apprentice,women,1930,1517,3.1130607859e-05
Apprentice,women,1940,3081,5.9214383686000004e-05
Apprentice,women,1950,1072,1.7648729274000002e-05
Apprentice,women,1960,2492,2.8674163740000003e-05
Apprentice,women,1970,1103,1.0095018746e-05
Apprentice,women,1980,1622,1.2622289322000001e-05
Apprentice,women,1990,405,2.715830011e-06
Apprentice,women,2000,0,0.0
Apprentice - Auto Mechanic,men,1850,0,0.0
Apprentice - Auto Mechanic,men,1860,0,0.0
Apprentice - Auto Mechanic,men,1870,0,0.0
Apprentice - Auto Mechanic,men,1880,0,0.0
Apprentice - Auto Mechanic,men,1900,0,0.0
Apprentice - Auto Mechanic,men,1910,0,0.0
Apprentice - Auto Mechanic,men,1920,3532,8.411834460300001e-05
Apprentice - Auto Mechanic,men,1930,506,1.0383709675000002e-05
Apprentice - Auto Mechanic,men,1940,0,0.0
Apprentice - Auto Mechanic,men,1950,5955,9.803934965200001e-05
Apprentice - Auto Mechanic,men,1960,2093,2.4083075726e-05
Apprentice - Auto Mechanic,men,1970,4106,3.7579462349e-05
Apprentice - Auto Mechanic,men,1980,3961,3.0824221952e-05
Apprentice - Auto Mechanic,men,1990,1800,1.2070355608000001e-05
Apprentice - Auto Mechanic,men,2000,0,0.0
Apprentice - Auto Mechanic,women,1850,0,0.0
Apprentice - Auto Mechanic,women,1860,0,0.0
Apprentice - Auto Mechanic,women,1870,0,0.0
Apprentice - Auto Mechanic,women,1880,0,0.0
Apprentice - Auto Mechanic,women,1900,0,0.0
Apprentice - Auto Mechanic,women,1910,0,0.0
Apprentice - Auto Mechanic,women,1920,0,0.0
Apprentice - Auto Mechanic,women,1930,506,1.0383709675000002e-05
Apprentice - Auto Mechanic,women,1940,0,0.0
Apprentice - Auto Mechanic,women,1950,1074,1.7681656007000002e-05
Apprentice - Auto Mechanic,women,1960,0,0.0
Apprentice - Auto Mechanic,women,1970,100,9.152328872317398e-07
Apprentice - Auto Mechanic,women,1980,120,9.338315158455877e-07
Apprentice - Auto Mechanic,women,1990,51,3.41993408901851e-07
Apprentice - Auto Mechanic,women,2000,0,0.0
Apprentice - Bricklayer,men,1850,0,0.0
Apprentice - Bricklayer,men,1860,1204,0.00014274816780800002
Apprentice - Bricklayer,men,1870,3320,0.00025287456302
Apprentice - Bricklayer,men,1880,699,3.8181525898000006e-05
Apprentice - Bricklayer,men,1900,1004,3.3816360523e-05
Apprentice - Bricklayer,men,1910,0,0.0
Apprentice - Bricklayer,men,1920,101,2.405422651e-06
Apprentice - Bricklayer,men,1930,2021,4.1473275204000004e-05
Apprentice - Bricklayer,men,1940,0,0.0
Apprentice - Bricklayer,men,1950,8290,0.000136481311271
Apprentice - Bricklayer,men,1960,2991,3.4415900380000004e-05
Apprentice - Bricklayer,men,1970,4710,4.3107468988000005e-05
Apprentice - Bricklayer,men,1980,3562,2.7719232162000003e-05
Apprentice - Bricklayer,men,1990,976,6.544815040000001e-06
Apprentice - Bricklayer,men,2000,0,0.0
Apprentice - Bricklayer,women,1850,0,0.0
Apprentice - Bricklayer,women,1860,0,0.0
Apprentice - Bricklayer,women,1870,0,0.0
Apprentice - Bricklayer,women,1880,0,0.0
Apprentice - Bricklayer,women,1900,0,0.0
Apprentice - Bricklayer,women,1910,0,0.0
Apprentice - Bricklayer,women,1920,0,0.0
Apprentice - Bricklayer,women,1930,0,0.0
Apprentice - Bricklayer,women,1940,0,0.0
Apprentice - Bricklayer,women,1950,0,0.0
Apprentice - Bricklayer,women,1960,0,0.0
Apprentice - Bricklayer,women,1970,200,1.8304657740000002e-06
Apprentice - Bricklayer,women,1980,140,1.0894701010000002e-06
Apprentice - Bricklayer,women,1990,53,3.554049151332962e-07
Apprentice - Bricklayer,women,2000,0,0.0
Apprentice - Carpenter,men,1850,404,7.4728987189e-05
Apprentice - Carpenter,men,1860,6818,0.0008083529967740001
Apprentice - Carpenter,men,1870,8443,0.0006430782938490001
Apprentice - Carpenter,men,1880,5589,0.00030528833798
Apprentice - Carpenter,men,1900,3113,0.000104850926603
Apprentice - Carpenter,men,1910,0,0.0
Apprentice - Carpenter,men,1920,1615,3.8462946357000006e-05
Apprentice - Carpenter,men,1930,2527,5.1856984879e-05
Apprentice - Carpenter,men,1940,13667,0.00026266893276500003
Apprentice - Carpenter,men,1950,11840,0.00019492626362500003
Apprentice - Carpenter,men,1960,7666,8.820872361000001e-05
Apprentice - Carpenter,men,1970,9616,8.8008794436e-05
Apprentice - Carpenter,men,1980,11127,8.6589527306e-05
Apprentice - Carpenter,men,1990,5609,3.7612569226e-05
Apprentice - Carpenter,men,2000,0,0.0
Apprentice - Carpenter,women,1850,0,0.0
Apprentice - Carpenter,women,1860,0,0.0
Apprentice - Carpenter,women,1870,101,7.692870742000001e-06
Apprentice - Carpenter,women,1880,0,0.0
Apprentice - Carpenter,women,1900,0,0.0
Apprentice - Carpenter,women,1910,0,0.0
Apprentice - Carpenter,women,1920,0,0.0
Apprentice - Carpenter,women,1930,0,0.0
Apprentice - Carpenter,women,1940,1010,1.9411401338e-05
Apprentice - Carpenter,women,1950,54,8.890218104543926e-07
Apprentice - Carpenter,women,1960,0,0.0
Apprentice - Carpenter,women,1970,0,0.0
Apprentice - Carpenter,women,1980,840,6.536820610000001e-06
Apprentice - Carpenter,women,1990,318,2.13242949e-06
Apprentice - Carpenter,women,2000,0,0.0
Apprentice - Construction,men,1850,202,3.7364493594e-05
Apprentice - Construction,men,1860,3408,0.00040405793678600005
Apprentice - Construction,men,1870,5525,0.00042082287972400003
Apprentice - Construction,men,1880,1995,0.00010897302456
Apprentice - Construction,men,1900,2012,6.7767447583e-05
Apprentice - Construction,men,1910,21412,0.000550028356823
Apprentice - Construction,men,1920,705,1.6790326428e-05
Apprentice - Construction,men,1930,1515,3.1089565529e-05
Apprentice - Construction,men,1940,18051,0.000346925946099
Apprentice - Construction,men,1950,5717,9.412106834e-05
Apprentice - Construction,men,1960,3489,4.0146130534e-05
Apprentice - Construction,men,1970,2603,2.3823512054000003e-05
Apprentice - Construction,men,1980,0,0.0
Apprentice - Construction,men,1990,0,0.0
Apprentice - Construction,men,2000,0,0.0
Apprentice - Construction,women,1850,0,0.0
Apprentice - Construction,women,1860,202,2.3949443436e-05
Apprentice - Construction,women,1870,101,7.692870742000001e-06
Apprentice - Construction,women,1880,0,0.0
Apprentice - Construction,women,1900,0,0.0
Apprentice - Construction,women,1910,0,0.0
Apprentice - Construction,women,1920,0,0.0
Apprentice - Construction,women,1930,0,0.0
Apprentice - Construction,women,1940,101,1.941140133e-06
